"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 10 13:35:34 GMT 2021","Sun Jan 10 13:35:35 GMT 2021","1214","","","","Tests.TestsExamples","GetCompanyInvoices","GetCompanyInvoices",""
"passed","Sun Jan 10 13:35:35 GMT 2021","Sun Jan 10 13:35:36 GMT 2021","1003","","","","Tests.TestsExamples","GetCompanyInvoices2","GetCompanyInvoices2",""
