"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 10 11:41:22 GMT 2021","Sun Jan 10 11:41:23 GMT 2021","1265","","","","Tests.TestsExamples","GetCompanyInvoices","GetCompanyInvoices",""
"passed","Sun Jan 10 11:41:23 GMT 2021","Sun Jan 10 11:41:24 GMT 2021","1003","","","","Tests.TestsExamples","GetCompanyInvoices2","GetCompanyInvoices2",""
