"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 11 04:37:54 GMT 2021","Mon Jan 11 04:37:55 GMT 2021","1004","","","","Tests.TestsExamples","GetCompanyInvoices2","GetCompanyInvoices2",""
"failed","Mon Jan 11 04:37:53 GMT 2021","Mon Jan 11 04:37:54 GMT 2021","1208","","","","Tests.TestsExamples","GetCompanyInvoices","GetCompanyInvoices",""
